season_id,name,year,start_date,end_date,status
2010,Season 2010,2010,2010-02-01 00:00:00,2010-12-31 23:59:59,canceled
2011,Season 2011,2011,2011-02-01 00:00:00,2011-12-31 23:59:59,canceled
2012,Season 2012,2012,2012-02-01 00:00:00,2012-12-31 23:59:59,canceled
2013,Season 2013,2013,2013-02-01 00:00:00,2013-12-31 23:59:59,canceled
2014,Season 2014,2014,2014-02-01 00:00:00,2014-12-31 23:59:59,canceled
2015,Season 2015,2015,2015-02-01 00:00:00,2015-12-31 23:59:59,canceled
2016,Season 2016,2016,2016-02-01 00:00:00,2016-12-31 23:59:59,canceled
2017,Season 2017,2017,2017-02-01 00:00:00,2017-12-31 23:59:59,canceled
2018,Season 2018,2018,2018-02-01 00:00:00,2018-12-31 23:59:59,canceled
2019,Season 2019,2019,2019-02-01 00:00:00,2019-12-31 23:59:59,canceled
2020,Season 2020,2020,2020-02-01 00:00:00,2020-12-31 23:59:59,canceled
2021,Season 2021,2021,2021-02-01 00:00:00,2021-12-31 23:59:59,canceled
2022,Season 2022,2022,2022-02-01 00:00:00,2022-12-31 23:59:59,canceled
2023,Season 2023,2023,2023-02-01 00:00:00,2023-12-31 23:59:59,canceled
2024,Season 2024,2024,2024-02-01 00:00:00,2024-12-31 23:59:59,archived
2025,Season 2025,2025,2025-02-01 00:00:00,2025-12-31 23:59:59,archived
2026,Season 2026,2026,2026-02-01 00:00:00,2026-12-31 23:59:59,active
